path	category	read_status	role	domain	key_symbols	contracts	dependencies	tests	docs_references	findings	size_bytes	line_count	last_commit_sha	last_commit_time	last_commit_subject
AGENTS.md	ROOT_CONFIG	FULL_TEXT_READ	AGENTS.md — Market Regime Alpha Execution Contract	repository	[]	[]	[]	[]	"[""docs/development/WP-0-Close-B1-Verification.md"", ""docs/audit/Conflict-Register.md"", ""docs/architecture/Original-Intent-to-Current-Docs-and-Codex-Readiness-Audit.md"", ""docs/research/R5-Current-Status.md"", ""docs/archive/superpowers/specs/2026-07-16-wp4a-entry-path-targets-design.md"", ""docs/archive/superpowers/specs/2026-07-16-wp3-provider-routing-and-candidate-runs-design.md"", ""docs/archive/superpowers/specs/2026-07-18-wp4a2-entry-path-as-of-evidence-correction-design.md"", ""docs/archive/superpowers/specs/2026-07-16-wp3-candidate-directional-accuracy-design.md"", ""docs/archive/superpowers/specs/2026-07-18-wp4a1-entry-path-temporal-price-lineage-hardening-design.md"", ""docs/archive/superpowers/plans/2026-07-16-xuntou-p0-native-adapter.md""]"	[]	12516	501	79be088f92bdbe3500de08ebbe3d1c7fd9996ea0	2026-07-15T23:04:25+08:00	docs: add bounded Codex execution contract
README.md	ROOT_CONFIG	FULL_TEXT_READ	Market Regime Alpha — A 股 Alpha Research Operating System	repository	[]	[]	[]	[]	"[""docs/MACD-Research-Audit.md"", ""docs/Tushare-App.md"", ""docs/Sell-Side-Model-Spec.md"", ""docs/Usage-Manual.md"", ""docs/Formal-Data-Source-PoC-2026-07-14.md"", ""docs/Project-Structure.md"", ""docs/Data-Spec.md"", ""docs/Dividend-T-Platform.md"", ""docs/Formal-Data-Source-Capability-Audit.md"", ""docs/Formal-MACD-Dataset-Builder-Plan.md"", ""docs/README.md"", ""docs/退神股票涨跌理论-量化实现差距分析.md"", ""docs/theory/退神股票涨跌理论.md"", ""docs/development/WP-0-Close-B1-Verification.md"", ""docs/specs/Xuntou-P0-Native-Field-Mapping.md"", ""docs/specs/ETFDirectionSnapshot.md"", ""docs/specs/DailyResearchSnapshot.md"", ""docs/specs/Xuntou-PIT-Field-Mapping-V4.md"", ""docs/specs/ManualTradeRecord.md"", ""docs/specs/PositionSnapshot.md"", ""docs/specs/CandidateRecommendation.md"", ""docs/specs/FailureReasonTaxonomy.md"", ""docs/specs/ThemeDirectionSnapshot.md"", ""docs/specs/Xuntou-PIT-Validation-Bundle-V4.md"", ""docs/specs/ExitAssessment.md"", ""docs/specs/Entry-Path-Target-V1.md"", ""docs/specs/DailyReviewReport.md"", ""docs/specs/CapitalContextSnapshot.md"", ""docs/specs/EntryAssessment.md"", ""docs/specs/HoldingAssessment.md""]"	[]	11810	285	c4976dfe3564f10f2e1f42f0065caffab8d8a962	2026-07-16T21:28:11+08:00	docs: record WP-3 routing infrastructure
backtesting/README.md	BACKTESTING	FULL_TEXT_READ	Backtesting Experiments	backtesting	[]	[]	[]	[]	"[""docs/Usage-Manual.md"", ""docs/archive/superpowers/plans/2026-07-13-macd-signal-intent-implementation.md""]"	[]	10459	266	164d06b8a3244a64da4a4d404b76406109a95764	2026-07-13T22:50:32+08:00	feat: add nonempty MACD rehearsal audits
backtesting/build_ma_crossover_visual.py	BACKTESTING	FULL_TEXT_READ	Build a self-contained HTML visualization for the MA crossover prototype.	backtesting	"[""main"", ""build_visual_payload"", ""build_html"", ""_round_optional""]"	[]	"[""argparse"", ""json"", ""sys"", ""__future__"", ""pathlib"", ""typing"", ""market_regime_alpha.backtesting""]"	[]	"[""docs/MACD-Research-Audit.md"", ""docs/Tushare-App.md"", ""docs/Sell-Side-Model-Spec.md"", ""docs/Usage-Manual.md"", ""docs/Formal-Data-Source-PoC-2026-07-14.md"", ""docs/Project-Structure.md"", ""docs/Data-Spec.md"", ""docs/Dividend-T-Platform.md"", ""docs/Formal-Data-Source-Capability-Audit.md"", ""docs/Formal-MACD-Dataset-Builder-Plan.md"", ""docs/README.md"", ""docs/退神股票涨跌理论-量化实现差距分析.md"", ""docs/theory/退神股票涨跌理论.md"", ""docs/development/WP-0-Close-B1-Verification.md"", ""docs/roadmap/Phase-D-Work-Packages.md"", ""docs/specs/Xuntou-P0-Native-Field-Mapping.md"", ""docs/specs/ETFDirectionSnapshot.md"", ""docs/specs/DailyResearchSnapshot.md"", ""docs/specs/Xuntou-PIT-Field-Mapping-V4.md"", ""docs/specs/ManualTradeRecord.md"", ""docs/specs/PositionSnapshot.md"", ""docs/specs/CandidateRecommendation.md"", ""docs/specs/FailureReasonTaxonomy.md"", ""docs/specs/ThemeDirectionSnapshot.md"", ""docs/specs/Xuntou-PIT-Validation-Bundle-V4.md"", ""docs/specs/ExitAssessment.md"", ""docs/specs/Entry-Path-Target-V1.md"", ""docs/specs/DailyReviewReport.md"", ""docs/specs/CapitalContextSnapshot.md"", ""docs/specs/EntryAssessment.md""]"	[]	19843	647	24c8de2b5141d4d6a80d3f23eef1b6d084a48ecd	2026-07-09T00:03:11+08:00	Initial market-regime-alpha migration
backtesting/run_buy_sell_point_hit_rate.py	BACKTESTING	FULL_TEXT_READ	Report 1/3/5-day hit rates for buy and sell timing points.	backtesting	"[""main"", ""_parse_horizons"", ""_build_market_filter"", ""_daily_market_filter_frame"", ""_write_outputs"", ""_format_report"", ""_summary_table"", ""_fmt_pct""]"	[]	"[""argparse"", ""sys"", ""pandas"", ""__future__"", ""dataclasses"", ""pathlib"", ""typing"", ""market_regime_alpha.dividend_t.backtest"", ""market_regime_alpha.dividend_t.cosco_profile"", ""market_regime_alpha.dividend_t.cosco_timing"", ""market_regime_alpha.dividend_t.fundamentals"", ""market_regime_alpha.dividend_t.market_environment"", ""market_regime_alpha.dividend_t.point_hit_rate"", ""market_regime_alpha.dividend_t.storage"", ""market_regime_alpha.dividend_t.strategy_modes""]"	[]	"[""docs/MACD-Research-Audit.md"", ""docs/Tushare-App.md"", ""docs/Sell-Side-Model-Spec.md"", ""docs/Usage-Manual.md"", ""docs/Formal-Data-Source-PoC-2026-07-14.md"", ""docs/Project-Structure.md"", ""docs/Data-Spec.md"", ""docs/Dividend-T-Platform.md"", ""docs/Formal-Data-Source-Capability-Audit.md"", ""docs/Formal-MACD-Dataset-Builder-Plan.md"", ""docs/README.md"", ""docs/退神股票涨跌理论-量化实现差距分析.md"", ""docs/theory/退神股票涨跌理论.md"", ""docs/development/WP-0-Close-B1-Verification.md"", ""docs/roadmap/Phase-D-Work-Packages.md"", ""docs/specs/Xuntou-P0-Native-Field-Mapping.md"", ""docs/specs/ETFDirectionSnapshot.md"", ""docs/specs/DailyResearchSnapshot.md"", ""docs/specs/Xuntou-PIT-Field-Mapping-V4.md"", ""docs/specs/ManualTradeRecord.md"", ""docs/specs/PositionSnapshot.md"", ""docs/specs/CandidateRecommendation.md"", ""docs/specs/FailureReasonTaxonomy.md"", ""docs/specs/ThemeDirectionSnapshot.md"", ""docs/specs/Xuntou-PIT-Validation-Bundle-V4.md"", ""docs/specs/ExitAssessment.md"", ""docs/specs/Entry-Path-Target-V1.md"", ""docs/specs/DailyReviewReport.md"", ""docs/specs/CapitalContextSnapshot.md"", ""docs/specs/EntryAssessment.md""]"	[]	16160	354	3604d4e22699ffc2e89d0133c1516565df3934c1	2026-07-14T00:24:26+08:00	feat: harden sell-side audit contracts
backtesting/run_cosco_dividend_t_backtest.py	BACKTESTING	FULL_TEXT_READ	Run the optimized COSCO dividend T timing backtest.	backtesting	"[""main"", ""_fetch_provider_bars"", ""_fmt_pct"", ""_git_commit""]"	[]	"[""argparse"", ""subprocess"", ""sys"", ""__future__"", ""datetime"", ""pathlib"", ""market_regime_alpha.data_sources.a_share_bars"", ""market_regime_alpha.dividend_t.backtest"", ""market_regime_alpha.dividend_t.cosco_timing"", ""market_regime_alpha.dividend_t.macd"", ""market_regime_alpha.dividend_t.macd_experiments""]"	[]	"[""docs/MACD-Research-Audit.md"", ""docs/Tushare-App.md"", ""docs/Sell-Side-Model-Spec.md"", ""docs/Usage-Manual.md"", ""docs/Formal-Data-Source-PoC-2026-07-14.md"", ""docs/Project-Structure.md"", ""docs/Data-Spec.md"", ""docs/Dividend-T-Platform.md"", ""docs/Formal-Data-Source-Capability-Audit.md"", ""docs/Formal-MACD-Dataset-Builder-Plan.md"", ""docs/README.md"", ""docs/退神股票涨跌理论-量化实现差距分析.md"", ""docs/theory/退神股票涨跌理论.md"", ""docs/development/WP-0-Close-B1-Verification.md"", ""docs/roadmap/Phase-D-Work-Packages.md"", ""docs/specs/Xuntou-P0-Native-Field-Mapping.md"", ""docs/specs/ETFDirectionSnapshot.md"", ""docs/specs/DailyResearchSnapshot.md"", ""docs/specs/Xuntou-PIT-Field-Mapping-V4.md"", ""docs/specs/ManualTradeRecord.md"", ""docs/specs/PositionSnapshot.md"", ""docs/specs/CandidateRecommendation.md"", ""docs/specs/FailureReasonTaxonomy.md"", ""docs/specs/ThemeDirectionSnapshot.md"", ""docs/specs/Xuntou-PIT-Validation-Bundle-V4.md"", ""docs/specs/ExitAssessment.md"", ""docs/specs/Entry-Path-Target-V1.md"", ""docs/specs/DailyReviewReport.md"", ""docs/specs/CapitalContextSnapshot.md"", ""docs/specs/EntryAssessment.md""]"	[]	10111	205	250883a37de4e4fc77390e9b744b457ab81c3e10	2026-07-13T20:16:56+08:00	feat: version MACD experiment caches
backtesting/run_cosco_parameter_search.py	BACKTESTING	FULL_TEXT_READ	Parameter search, out-of-sample test, and rolling validation for COSCO.	backtesting	"[""Candidate"", ""DateSplit"", ""main"", ""build_train_valid_test_splits"", ""build_candidates"", ""filter_by_split"", ""run_candidate"", ""result_row"", ""selection_score"", ""summarize_candidates"", ""run_rolling_validation"", ""run_walk_forward_validation"", ""build_rolling_windows"", ""build_walk_forward_windows"", ""format_report"", ""candidate_stability_stats"", ""markdown_table"", ""pct""]"	[]	"[""argparse"", ""sys"", ""pandas"", ""__future__"", ""dataclasses"", ""itertools"", ""pathlib"", ""market_regime_alpha.dividend_t.backtest""]"	[]	"[""docs/MACD-Research-Audit.md"", ""docs/Tushare-App.md"", ""docs/Sell-Side-Model-Spec.md"", ""docs/Usage-Manual.md"", ""docs/Formal-Data-Source-PoC-2026-07-14.md"", ""docs/Project-Structure.md"", ""docs/Data-Spec.md"", ""docs/Dividend-T-Platform.md"", ""docs/Formal-Data-Source-Capability-Audit.md"", ""docs/Formal-MACD-Dataset-Builder-Plan.md"", ""docs/README.md"", ""docs/退神股票涨跌理论-量化实现差距分析.md"", ""docs/theory/退神股票涨跌理论.md"", ""docs/development/WP-0-Close-B1-Verification.md"", ""docs/roadmap/Phase-D-Work-Packages.md"", ""docs/specs/Xuntou-P0-Native-Field-Mapping.md"", ""docs/specs/ETFDirectionSnapshot.md"", ""docs/specs/DailyResearchSnapshot.md"", ""docs/specs/Xuntou-PIT-Field-Mapping-V4.md"", ""docs/specs/ManualTradeRecord.md"", ""docs/specs/PositionSnapshot.md"", ""docs/specs/CandidateRecommendation.md"", ""docs/specs/FailureReasonTaxonomy.md"", ""docs/specs/ThemeDirectionSnapshot.md"", ""docs/specs/Xuntou-PIT-Validation-Bundle-V4.md"", ""docs/specs/ExitAssessment.md"", ""docs/specs/Entry-Path-Target-V1.md"", ""docs/specs/DailyReviewReport.md"", ""docs/specs/CapitalContextSnapshot.md"", ""docs/specs/EntryAssessment.md""]"	[]	27434	632	24c8de2b5141d4d6a80d3f23eef1b6d084a48ecd	2026-07-09T00:03:11+08:00	Initial market-regime-alpha migration
backtesting/run_dividend_25t_test_backtest.py	BACKTESTING	FULL_TEXT_READ	Run the standalone 2.5% dividend T-grid test on 20 dividend stocks.	backtesting	"[""WatchlistItem"", ""BacktestRow"", ""main"", ""_load_watchlist"", ""_load_symbol_bars"", ""_row_from_result"", ""_portfolio_summary"", ""_format_report"", ""_fmt_pct"", ""_write_csv"", ""_write_trades_csv""]"	[]	"[""argparse"", ""csv"", ""sys"", ""pandas"", ""__future__"", ""dataclasses"", ""datetime"", ""pathlib"", ""typing"", ""market_regime_alpha.dividend_t.grid_25t_test""]"	[]	"[""docs/MACD-Research-Audit.md"", ""docs/Tushare-App.md"", ""docs/Sell-Side-Model-Spec.md"", ""docs/Usage-Manual.md"", ""docs/Formal-Data-Source-PoC-2026-07-14.md"", ""docs/Project-Structure.md"", ""docs/Data-Spec.md"", ""docs/Dividend-T-Platform.md"", ""docs/Formal-Data-Source-Capability-Audit.md"", ""docs/Formal-MACD-Dataset-Builder-Plan.md"", ""docs/README.md"", ""docs/退神股票涨跌理论-量化实现差距分析.md"", ""docs/theory/退神股票涨跌理论.md"", ""docs/development/WP-0-Close-B1-Verification.md"", ""docs/roadmap/Phase-D-Work-Packages.md"", ""docs/specs/Xuntou-P0-Native-Field-Mapping.md"", ""docs/specs/ETFDirectionSnapshot.md"", ""docs/specs/DailyResearchSnapshot.md"", ""docs/specs/Xuntou-PIT-Field-Mapping-V4.md"", ""docs/specs/ManualTradeRecord.md"", ""docs/specs/PositionSnapshot.md"", ""docs/specs/CandidateRecommendation.md"", ""docs/specs/FailureReasonTaxonomy.md"", ""docs/specs/ThemeDirectionSnapshot.md"", ""docs/specs/Xuntou-PIT-Validation-Bundle-V4.md"", ""docs/specs/ExitAssessment.md"", ""docs/specs/Entry-Path-Target-V1.md"", ""docs/specs/DailyReviewReport.md"", ""docs/specs/CapitalContextSnapshot.md"", ""docs/specs/EntryAssessment.md""]"	[]	15079	337	24c8de2b5141d4d6a80d3f23eef1b6d084a48ecd	2026-07-09T00:03:11+08:00	Initial market-regime-alpha migration
backtesting/run_dividend_drawdown_report.py	BACKTESTING	FULL_TEXT_READ	Build a drawdown report for the dividend T watchlist backtest.	backtesting	"[""DrawdownInfo"", ""DrawdownRow"", ""main"", ""_run_one"", ""_config_for_profile"", ""_benchmark_curve"", ""_drawdown_info"", ""_format_report"", ""_table_row"", ""_worst_row"", ""_write_csv"", ""_average""]"	[]	"[""argparse"", ""sys"", ""pandas"", ""__future__"", ""dataclasses"", ""dataclasses"", ""pathlib"", ""typing"", ""market_regime_alpha.dividend_t.backtest"", ""market_regime_alpha.dividend_t.cosco_profile"", ""market_regime_alpha.dividend_t.cosco_timing"", ""market_regime_alpha.dividend_t.fundamentals"", ""market_regime_alpha.dividend_t.storage""]"	[]	"[""docs/MACD-Research-Audit.md"", ""docs/Tushare-App.md"", ""docs/Sell-Side-Model-Spec.md"", ""docs/Usage-Manual.md"", ""docs/Formal-Data-Source-PoC-2026-07-14.md"", ""docs/Project-Structure.md"", ""docs/Data-Spec.md"", ""docs/Dividend-T-Platform.md"", ""docs/Formal-Data-Source-Capability-Audit.md"", ""docs/Formal-MACD-Dataset-Builder-Plan.md"", ""docs/README.md"", ""docs/退神股票涨跌理论-量化实现差距分析.md"", ""docs/theory/退神股票涨跌理论.md"", ""docs/development/WP-0-Close-B1-Verification.md"", ""docs/roadmap/Phase-D-Work-Packages.md"", ""docs/specs/Xuntou-P0-Native-Field-Mapping.md"", ""docs/specs/ETFDirectionSnapshot.md"", ""docs/specs/DailyResearchSnapshot.md"", ""docs/specs/Xuntou-PIT-Field-Mapping-V4.md"", ""docs/specs/ManualTradeRecord.md"", ""docs/specs/PositionSnapshot.md"", ""docs/specs/CandidateRecommendation.md"", ""docs/specs/FailureReasonTaxonomy.md"", ""docs/specs/ThemeDirectionSnapshot.md"", ""docs/specs/Xuntou-PIT-Validation-Bundle-V4.md"", ""docs/specs/ExitAssessment.md"", ""docs/specs/Entry-Path-Target-V1.md"", ""docs/specs/DailyReviewReport.md"", ""docs/specs/CapitalContextSnapshot.md"", ""docs/specs/EntryAssessment.md""]"	[]	19860	393	1c527dec21979de79da0de9c9e1a1f1be9495c2e	2026-07-09T20:27:27+08:00	Improve buy sell point dashboard
backtesting/run_dividend_monthly_pnl.py	BACKTESTING	FULL_TEXT_READ	Build monthly PnL report for the dividend T model.	backtesting	"[""MonthlyPnlRow"", ""main"", ""_run_one"", ""_config_for_profile"", ""_period_pnl"", ""_format_report"", ""_write_csv"", ""_table_row"", ""_weekly_table_row"", ""_fmt_money""]"	[]	"[""argparse"", ""sys"", ""pandas"", ""__future__"", ""dataclasses"", ""dataclasses"", ""pathlib"", ""typing"", ""market_regime_alpha.dividend_t.backtest"", ""market_regime_alpha.dividend_t.cosco_profile"", ""market_regime_alpha.dividend_t.cosco_timing"", ""market_regime_alpha.dividend_t.fundamentals"", ""market_regime_alpha.dividend_t.storage""]"	[]	"[""docs/MACD-Research-Audit.md"", ""docs/Tushare-App.md"", ""docs/Sell-Side-Model-Spec.md"", ""docs/Usage-Manual.md"", ""docs/Formal-Data-Source-PoC-2026-07-14.md"", ""docs/Project-Structure.md"", ""docs/Data-Spec.md"", ""docs/Dividend-T-Platform.md"", ""docs/Formal-Data-Source-Capability-Audit.md"", ""docs/Formal-MACD-Dataset-Builder-Plan.md"", ""docs/README.md"", ""docs/退神股票涨跌理论-量化实现差距分析.md"", ""docs/theory/退神股票涨跌理论.md"", ""docs/development/WP-0-Close-B1-Verification.md"", ""docs/roadmap/Phase-D-Work-Packages.md"", ""docs/specs/Xuntou-P0-Native-Field-Mapping.md"", ""docs/specs/ETFDirectionSnapshot.md"", ""docs/specs/DailyResearchSnapshot.md"", ""docs/specs/Xuntou-PIT-Field-Mapping-V4.md"", ""docs/specs/ManualTradeRecord.md"", ""docs/specs/PositionSnapshot.md"", ""docs/specs/CandidateRecommendation.md"", ""docs/specs/FailureReasonTaxonomy.md"", ""docs/specs/ThemeDirectionSnapshot.md"", ""docs/specs/Xuntou-PIT-Validation-Bundle-V4.md"", ""docs/specs/ExitAssessment.md"", ""docs/specs/Entry-Path-Target-V1.md"", ""docs/specs/DailyReviewReport.md"", ""docs/specs/CapitalContextSnapshot.md"", ""docs/specs/EntryAssessment.md""]"	[]	18871	382	1c527dec21979de79da0de9c9e1a1f1be9495c2e	2026-07-09T20:27:27+08:00	Improve buy sell point dashboard
backtesting/run_dividend_watchlist_backtest.py	BACKTESTING	FULL_TEXT_READ	Run batch backtests for the dividend watchlist.	backtesting	"[""BatchRow"", ""main"", ""_run_batch"", ""_create_batch_executor"", ""_build_market_filter"", ""_daily_market_filter_frame"", ""_run_one"", ""_config_for_profile"", ""_load_bars"", ""_fetch_yfinance_to_csv"", ""_fetch_with_timeout"", ""_fetch_worker"", ""_format_batch_report"", ""_write_csv"", ""_table_row"", ""_average"", ""_fmt_pct"", ""_git_commit""]"	[]	"[""argparse"", ""subprocess"", ""sys"", ""pandas"", ""__future__"", ""concurrent.futures"", ""dataclasses"", ""dataclasses"", ""datetime"", ""multiprocessing"", ""pathlib"", ""typing"", ""market_regime_alpha.data_sources.a_share_bars"", ""market_regime_alpha.dividend_t.backtest"", ""market_regime_alpha.dividend_t.cosco_profile"", ""market_regime_alpha.dividend_t.cosco_timing"", ""market_regime_alpha.dividend_t.macd"", ""market_regime_alpha.dividend_t.fundamentals"", ""market_regime_alpha.dividend_t.market_environment"", ""market_regime_alpha.dividend_t.storage"", ""market_regime_alpha.dividend_t.macd_experiments"", ""market_regime_alpha.dividend_t.strategy_modes""]"	[]	"[""docs/MACD-Research-Audit.md"", ""docs/Tushare-App.md"", ""docs/Sell-Side-Model-Spec.md"", ""docs/Usage-Manual.md"", ""docs/Formal-Data-Source-PoC-2026-07-14.md"", ""docs/Project-Structure.md"", ""docs/Data-Spec.md"", ""docs/Dividend-T-Platform.md"", ""docs/Formal-Data-Source-Capability-Audit.md"", ""docs/Formal-MACD-Dataset-Builder-Plan.md"", ""docs/README.md"", ""docs/退神股票涨跌理论-量化实现差距分析.md"", ""docs/theory/退神股票涨跌理论.md"", ""docs/development/WP-0-Close-B1-Verification.md"", ""docs/roadmap/Phase-D-Work-Packages.md"", ""docs/specs/Xuntou-P0-Native-Field-Mapping.md"", ""docs/specs/ETFDirectionSnapshot.md"", ""docs/specs/DailyResearchSnapshot.md"", ""docs/specs/Xuntou-PIT-Field-Mapping-V4.md"", ""docs/specs/ManualTradeRecord.md"", ""docs/specs/PositionSnapshot.md"", ""docs/specs/CandidateRecommendation.md"", ""docs/specs/FailureReasonTaxonomy.md"", ""docs/specs/ThemeDirectionSnapshot.md"", ""docs/specs/Xuntou-PIT-Validation-Bundle-V4.md"", ""docs/specs/ExitAssessment.md"", ""docs/specs/Entry-Path-Target-V1.md"", ""docs/specs/DailyReviewReport.md"", ""docs/specs/CapitalContextSnapshot.md"", ""docs/specs/EntryAssessment.md""]"	[]	36093	715	250883a37de4e4fc77390e9b744b457ab81c3e10	2026-07-13T20:16:56+08:00	feat: version MACD experiment caches
backtesting/run_ma_crossover.py	BACKTESTING	FULL_TEXT_READ	Run the sample ETF moving-average crossover experiment.	backtesting	"[""main"", ""_format_percent"", ""_format_optional_percent"", ""_format_optional_number""]"	[]	"[""argparse"", ""sys"", ""__future__"", ""pathlib"", ""market_regime_alpha.backtesting""]"	[]	"[""docs/MACD-Research-Audit.md"", ""docs/Tushare-App.md"", ""docs/Sell-Side-Model-Spec.md"", ""docs/Usage-Manual.md"", ""docs/Formal-Data-Source-PoC-2026-07-14.md"", ""docs/Project-Structure.md"", ""docs/Data-Spec.md"", ""docs/Dividend-T-Platform.md"", ""docs/Formal-Data-Source-Capability-Audit.md"", ""docs/Formal-MACD-Dataset-Builder-Plan.md"", ""docs/README.md"", ""docs/退神股票涨跌理论-量化实现差距分析.md"", ""docs/theory/退神股票涨跌理论.md"", ""docs/development/WP-0-Close-B1-Verification.md"", ""docs/roadmap/Phase-D-Work-Packages.md"", ""docs/specs/Xuntou-P0-Native-Field-Mapping.md"", ""docs/specs/ETFDirectionSnapshot.md"", ""docs/specs/DailyResearchSnapshot.md"", ""docs/specs/Xuntou-PIT-Field-Mapping-V4.md"", ""docs/specs/ManualTradeRecord.md"", ""docs/specs/PositionSnapshot.md"", ""docs/specs/CandidateRecommendation.md"", ""docs/specs/FailureReasonTaxonomy.md"", ""docs/specs/ThemeDirectionSnapshot.md"", ""docs/specs/Xuntou-PIT-Validation-Bundle-V4.md"", ""docs/specs/ExitAssessment.md"", ""docs/specs/Entry-Path-Target-V1.md"", ""docs/specs/DailyReviewReport.md"", ""docs/specs/CapitalContextSnapshot.md"", ""docs/specs/EntryAssessment.md""]"	[]	3001	82	24c8de2b5141d4d6a80d3f23eef1b6d084a48ecd	2026-07-09T00:03:11+08:00	Initial market-regime-alpha migration
backtesting/run_macd_ablation.py	BACKTESTING	FULL_TEXT_READ	Run sealed four-arm MACD ablations without exposing the final segment by default.	backtesting	"[""build_parser"", ""main"", ""_run_profile"", ""_macd_provider"", ""_select_segment"", ""_write_run_artifacts"", ""_aggregate_results"", ""_result_row"", ""_attribution_payload"", ""_format_report"", ""_load_corporate_actions"", ""_run_quality_checks"", ""_dependency_lock_hash"", ""_cache_identities_valid"", ""_platform_metadata"", ""_git_commit"", ""_working_tree_clean"", ""_write_json"", ""_print_plan""]"	[]	"[""argparse"", ""hashlib"", ""json"", ""platform"", ""random"", ""subprocess"", ""sys"", ""pandas"", ""__future__"", ""dataclasses"", ""datetime"", ""importlib"", ""pathlib"", ""typing"", ""market_regime_alpha.dividend_t.backtest"", ""market_regime_alpha.dividend_t.cosco_timing"", ""market_regime_alpha.dividend_t.macd"", ""market_regime_alpha.dividend_t.macd_bars"", ""market_regime_alpha.dividend_t.macd_experiments"", ""market_regime_alpha.dividend_t.macd_oos"", ""market_regime_alpha.dividend_t.signal_intent""]"	[]	"[""docs/MACD-Research-Audit.md"", ""docs/Tushare-App.md"", ""docs/Sell-Side-Model-Spec.md"", ""docs/Usage-Manual.md"", ""docs/Formal-Data-Source-PoC-2026-07-14.md"", ""docs/Project-Structure.md"", ""docs/Data-Spec.md"", ""docs/Dividend-T-Platform.md"", ""docs/Formal-Data-Source-Capability-Audit.md"", ""docs/Formal-MACD-Dataset-Builder-Plan.md"", ""docs/README.md"", ""docs/退神股票涨跌理论-量化实现差距分析.md"", ""docs/theory/退神股票涨跌理论.md"", ""docs/development/WP-0-Close-B1-Verification.md"", ""docs/roadmap/Phase-D-Work-Packages.md"", ""docs/specs/Xuntou-P0-Native-Field-Mapping.md"", ""docs/specs/ETFDirectionSnapshot.md"", ""docs/specs/DailyResearchSnapshot.md"", ""docs/specs/Xuntou-PIT-Field-Mapping-V4.md"", ""docs/specs/ManualTradeRecord.md"", ""docs/specs/PositionSnapshot.md"", ""docs/specs/CandidateRecommendation.md"", ""docs/specs/FailureReasonTaxonomy.md"", ""docs/specs/ThemeDirectionSnapshot.md"", ""docs/specs/Xuntou-PIT-Validation-Bundle-V4.md"", ""docs/specs/ExitAssessment.md"", ""docs/specs/Entry-Path-Target-V1.md"", ""docs/specs/DailyReviewReport.md"", ""docs/specs/CapitalContextSnapshot.md"", ""docs/specs/EntryAssessment.md""]"	[]	21074	520	7a1a6b2802af87d98a00ba31882426415d17b486	2026-07-13T21:42:44+08:00	feat: add sealed MACD ablation rehearsal
